date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/15/20,organic,"/stavni-okonnyie,-zashhitnyie-",,,,,,1
2/15/20,organic,/vxodnaya-dver-m-600-flitta,Екатеринбург,,,,,1
2/15/20,organic,/vxodnaya-dver-v-kvartiru-s-sh,Иркутск,,,,,1
2/15/20,organic,/zamki-s-sistemoj-rannego-reag,Москва,,,,,1
2/15/20,organic,/zamok-kale-472-lr-smart-line-,Екатеринбург,,,,,1
2/15/20,organic,/zamok-zpu-tp-rp,Москва,,,,,1
2/15/20,paid,/dveri-so-skidkoj/,Москва,1370731,171187471,416330321,584734243,1
2/15/20,paid,/s-zerkalom/,Москва,1370731,171187455,416106553,584734197,1
2/15/20,paid,/vzlomostojkie/,Мытищи,1370731,171273123,416330327,584989543,1
2/15/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,2
2/16/20,direct,/,Ташкент,,,,,1
2/16/20,direct,/vent-reshetka-protivopozharna,Екатеринбург,,,,,1
2/16/20,organic,/,Волгодонск,,,,,1
2/16/20,organic,/,Москва,,,,,1
2/16/20,organic,/dovodchik-pnevmaticheskij-mor,Новый Уренгой,,,,,1
2/16/20,organic,/dver-stalnaya-protivopozharna,Москва,,,,,1
2/16/20,organic,/s-shumoizolyacziej/,Москва,,,,,1
2/16/20,organic,/s-shumoizolyacziej/,Санкт-Петербург,,,,,1
2/16/20,paid,/s-zerkalom/,Москва,1370731,171187443,416330285,584734315,1
2/16/20,paid,/s-zerkalom/,Москва,1370731,171187459,416106557,584734203,1
2/16/20,referral,/dachnaya-termo-prof?frommarke,Москва,,,,,1
2/16/20,referral,/vxodnaya-dver-premium-klassa-,Челябинск,,,,,1
2/17/20,organic,/cisa-56436,Санкт-Петербург,,,,,1
2/17/20,organic,/dveri-kxns/,Москва,,,,,1
2/17/20,organic,/dveri-kxo/,Москва,,,,,1
2/17/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/17/20,organic,/dveri-s-termorazryivom/,Тамбов,,,,,1
2/17/20,organic,/gardian-3001,Москва,,,,,1
2/17/20,organic,/v-kassu/,Москва,,,,,1
2/17/20,organic,/v-kassu/,Нижний Новгород,,,,,1
2/17/20,organic,/vent-reshetka-protivopozharna,Москва,,,,,1
2/17/20,organic,/zamok-kale-257-r,Иркутск,,,,,1
2/17/20,organic,/zamok-zpu-tp-rp,Пермь,,,,,1
2/17/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,1
2/17/20,referral,/,Москва,,,,,2
2/18/20,direct,/,Москва,,,,,1
2/18/20,direct,/s-shumoizolyacziej/,Щёлково,,,,,1
2/18/20,direct,/ulichnaya-dver-s-termorazryiv,Москва,,,,,1
2/18/20,organic,/,Москва,,,,,1
2/18/20,organic,/dlya-uchrezhdenij/,Иваново,,,,,1
2/18/20,organic,/dobory,Москва,,,,,1
2/18/20,organic,/dver-3-klassa-zashhityi-serti,Красноярск,,,,,1
2/18/20,organic,/dver-stalnaya-protivopozharna,Иваново,,,,,1
2/18/20,organic,/dver-v-kotelnuyu-so-steklom-i,Санкт-Петербург,,,,,1
2/18/20,organic,/dver-v-kxn,Самара,,,,,1
2/18/20,organic,/dveri-kxo/,Москва,,,,,1
2/18/20,organic,/dveri-s-termorazryivom/,Дзержинский,,,,,1
2/18/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/18/20,organic,/dveri-s-termorazryivom/,Новороссийск,,,,,1
2/18/20,organic,/elektromexanicheskij-protivop,Вад,,,,,1
2/18/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/18/20,organic,"/stavni-okonnyie,-zashhitnyie-",Волхов,,,,,1
2/18/20,organic,/ulichnyie-dveri/,Москва,,,,,1
2/18/20,organic,/v-kassu/,Кемерово,,,,,1
2/18/20,paid,/ekonom-klassa/,Москва,1370731,171187435,416106533,584734295,1
2/19/20,organic,/,Реутов,,,,,1
2/19/20,organic,/dver-stalnaya-protivopozharna,Иваново,,,,,1
2/19/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
